date,house_x,speaker,text,clean_text,text_length,speaker_norm,fullName,firstName,lastName,constituency,party,membership_start,membership_end,gender_guess,in_government
2010-03-23,dail,Deputy Enda Kenny,"Deputy Enda Kenny
          The Minister should talk about the new Ministers.",          the minister should talk about the new ministers,8,enda kenny,Enda Kenny,Enda,Kenny,Mayo,Fine Gael,2007-06-14,2011-02-01 00:00:00.000000,male,0
2012-06-12,dail,Minister for Finance (Deputy Michael Noonan),"Minister for Finance (Deputy Michael Noonan)
            As the deputy is aware the securities repurchase transaction between Bank of Ireland (""BoI"") and Irish Bank Resolution Corporation (""IBRC"") is a commercial transaction and is subject to the approval of BoI's shareholders. BoI has issued a circular to their shareholders (the ""Circular"") and scheduled an extraordinary general court to be held on 18th June 2012.  The commercial terms of the securities repurchase transaction are set out in the Circular. As set out in the Circular the purchase price of the securities on the purchase date is dependent amongst other things on the market value of the securities on the purchase date. Subject to the approval of BoI's shareholders it is expected that moneys owing to the National Asset Management Agency (""NAMA"") by IBRC will be repaid on the purchase date.
            As set out in the Circular, IBRC's payment obligations under the securities repurchase transaction will be guaranteed pursuant to an existing deed of guarantee dated 29 November 2010, in favour of certain credit institutions and regulated entities which are party to certain agreements with Anglo (now IBRC).",            as the deputy is aware the securities repurchase transaction between bank of ireland boi and irish bank resolution corporation ibrc is a commercial transaction and is subject to the approval of bois shareholders boi has issued a circular to their shareholders the circular and scheduled an extraordinary general court to be held on 18th june 2012  the commercial terms of the securities repurchase transaction are set out in the circular as set out in the circular the purchase price of the securities on the purchase date is dependent amongst other things on the market value of the securities on the purchase date subject to the approval of bois shareholders it is expected that moneys owing to the national asset management agency nama by ibrc will be repaid on the purchase date             as set out in the circular ibrcs payment obligations under the securities repurchase transaction will be guaranteed pursuant to an existing deed of guarantee dated 29 november 2010 in favour of certain credit institutions and regulated entities which are party to certain agreements with anglo now ibrc,178,michael noonan,Michael Noonan,Michael,Noonan,Limerick City,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2011-10-26,dail,Deputy Richard Boyd Barrett,"Deputy Richard Boyd Barrett
          I am glad the Government finds the current crisis in Europe so amusing.",          i am glad the government finds the current crisis in europe so amusing,13,richard boyd barrett,Richard Boyd Barrett,Richard,Boyd Barrett,Dún Laoghaire,People Before Profit Alliance,2011-03-09,2016-03-09 00:00:00.000000,male,0
2022-03-08,dail,Chairman,"Chairman
          Okay.",          okay,1,sean o fearghail,Seán Ó Fearghaíl,Seán,Ó Fearghaíl,Kildare South,Fianna Fáil,2020-02-08,2024-11-08 00:00:00.000000,male,1
2024-02-21,seanad,An Cathaoirleach,"An Cathaoirleach
          Before I call on Senator McGahon, I welcome the members of the Ancient Order of Hibernians who are here from all across the United States. It is great to have people from Canada and America in the Gallery. They are very welcome. Enjoy your visit. Céad míle fáilte.",          before i call on senator mcgahon i welcome the members of the ancient order of hibernians who are here from all across the united states it is great to have people from canada and america in the gallery they are very welcome enjoy your visit céad míle fáilte,48,jerry buttimer,Jerry Buttimer,Jerry,Buttimer,Labour Panel,Fine Gael,2020-03-30,2024-11-29 00:00:00.000000,male,1
2018-11-13,dail,Chairman,"Chairman
          Please try to be positive.",          please try to be positive,5,sean o fearghail,Seán Ó Fearghaíl,Seán,Ó Fearghaíl,Kildare South,Fianna Fáil,2016-03-10,2020-01-14 00:00:00.000000,male,0
2011-10-26,dail,An Ceann Comhairle,"An Ceann Comhairle
          I thank Deputy Boyd Barrett.  We are not having a debate.",          i thank deputy boyd barrett  we are not having a debate,11,sean barrett,Seán Barrett,Seán,Barrett,Dún Laoghaire,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2018-05-30,seanad,Senator Paul Daly,"Senator Paul Daly
            I appreciate the response from the Minister of State. As she stated, Teagasc has full responsibility and the part-time course is treated or seen as adult education. I hope the Minister of State can take my problems and issues with it on board.
            I am talking about exceptions rather than opening the floodgates on this. It would be shameful if one or several young individuals felt because of their circumstances on the family farm that they would have to farm untrained for five to six years before reaching the age of 23 and taking up the course on a part-time basis. This would be detrimental to individuals who would be five or six years out of the education system when starting the course. It would also have a negative effect on their farming capabilities and the efficiency of the farm if they were to farm untrained. The Minister could, in consultation with Teagasc, come up with a special case arrangement in this situation.",            i appreciate the response from the minister of state as she stated teagasc has full responsibility and the parttime course is treated or seen as adult education i hope the minister of state can take my problems and issues with it on board             i am talking about exceptions rather than opening the floodgates on this it would be shameful if one or several young individuals felt because of their circumstances on the family farm that they would have to farm untrained for five to six years before reaching the age of 23 and taking up the course on a parttime basis this would be detrimental to individuals who would be five or six years out of the education system when starting the course it would also have a negative effect on their farming capabilities and the efficiency of the farm if they were to farm untrained the minister could in consultation with teagasc come up with a special case arrangement in this situation,163,paul daly,Paul Daly,Paul,Daly,Agricultural Panel,Fianna Fáil,2016-04-25,2020-03-29 00:00:00.000000,male,0
2013-11-19,dail,Deputy Luke 'Ming' Flanagan,"Deputy Luke 'Ming' Flanagan
          The witness knows now. What does he think of it?",          the witness knows now what does he think of it,10,luke 'ming' flanagan,Luke 'Ming' Flanagan,Luke 'Ming',Flanagan,Roscommon-South-Leitrim,Independent,2011-03-09,2014-10-10 00:00:00.000000,male,0
2012-06-12,dail,Deputy Maureen O’Sullivan,"Deputy Maureen O’Sullivan
            It is rather opportune that we are having this discussion.  Last week I raised a topical issue, with Deputy Kevin Humphreys, regarding the Dublin Docklands Development Authority.  The Minister was not present for that, and it would have been great if she had been.  What happened in that development offers strong lessons about what went wrong in this country.  One can see the disease in respect of land, whether it was buying it, speculating on it, planning it or building on it.  It amounted to a serious abuse of the planning regulations.
            I referred in that debate to a parliamentary question which the late Tony Gregory put to the then Minister, former Deputy Dick Roche, on 4 November 2004, in which he asked about the conflict of interest which would inhibit the Dublin Docklands Development Authority, DDDA, from making balanced planning decisions in the docklands.  The Minister's answer was that the board members had a wide range of experience and that it was difficult, in a relatively small city, to select people with the talent and time and who were willing to give service to the public through these boards.  We know the type of service those people gave.  The recent report was damning about it.  It outlined the various issues, including the shortcomings in financial management, planning functions and the management of board business, not to mention the Irish Glass Bottle site which was valued at €220 million but was sold for €431 million.
            What emerged clearly in the reply to Tony Gregory's question was that the board was effectively the planning authority.  There were people sitting on the board who were seeking planning permission but they were also the people who were making the decisions on the planning applications.  Some of those people were also members of the Anglo Irish Bank, which was funding the development.  We use the phrase ""something rotten in the state of Denmark"" but there was certainly something very rotten at that time.  There are other examples of it.  The then Minister said that there was a relatively small pool of people from which to select people, but what happened was appalling.
            I wish to emphasise the positive aspects of the docklands as well.  The current chairperson of the authority is doing great work.  However, it was battle after battle for the communities in the docklands areas for their survival.  The developers were arriving with brown envelopes and other incentives to get people to move out of communities in which their families had lived for generations.  There were many David and Goliath battles.  The development plans are drawn up and it is a question of economics and drawings on paper, with no account taken of the impact and effect on people's lives or of facilities, infrastructure, community life and green space.  The Minister is winding down the DDDA but there are still two vacancies on it for community representatives.  It is vital that they are appointed and that when the new authority goes to Dublin City Council, community is at the heart of any type of development there.
            Another planning issue about which I feel strongly, and I have spoken about it previously, is the way in which planning has allowed some of our vital heritage and historical sites to be taken over by developers.  The prime example is the Moore Street area, a place associated with one of the most historic moments in our city.  It has been given to a developer for a shopping mall.  That is just one example.  Other heritage sites are also at risk from extremely bad planning.  So much of this could have been avoided.  I gave the example from 2004.  In 1974 the Kenny report was produced.  If that had been implemented, much that was wrong with planning in this country might never have occurred.
            With regard to the motion, it is a case of what the previous Minister, former Deputy John Gormley, did or did not do and what exactly happened.  Recently, I read an article he wrote.  In it he spoke about what he had left in the area of planning before this Government took over.  He says he left an extensive dossier prepared by planning officials following the internal review, that he had reports from managers in which each of the local authorities responded to that request from him, that there were terms of reference for a panel of planning consultants to carry out an independent review in the six local authorities, there was a completed tender process to select the panel and that the letters of appointment issued.  All the preparatory work had been done and it was ready to go.  I note the Minister refers in the amendment to an internal review.  I have just returned from my constituency so I did not hear all the Minister of State's speech and what her plans are.  However, the central issue is the independent planning regulator and I support the call from An Taisce in that regard.
            I am from a docklands community.  My family are from there and I live there.  It is awful to see what went wrong.  However, this is an opportunity for the Government and, being an optimist, I hope that we get it right eventually.",            it is rather opportune that we are having this discussion  last week i raised a topical issue with deputy kevin humphreys regarding the dublin docklands development authority  the minister was not present for that and it would have been great if she had been  what happened in that development offers strong lessons about what went wrong in this country  one can see the disease in respect of land whether it was buying it speculating on it planning it or building on it  it amounted to a serious abuse of the planning regulations             i referred in that debate to a parliamentary question which the late tony gregory put to the then minister former deputy dick roche on 4 november 2004 in which he asked about the conflict of interest which would inhibit the dublin docklands development authority ddda from making balanced planning decisions in the docklands  the ministers answer was that the board members had a wide range of experience and that it was difficult in a relatively small city to select people with the talent and time and who were willing to give service to the public through these boards  we know the type of service those people gave  the recent report was damning about it  it outlined the various issues including the shortcomings in financial management planning functions and the management of board business not to mention the irish glass bottle site which was valued at 220 million but was sold for 431 million             what emerged clearly in the reply to tony gregorys question was that the board was effectively the planning authority  there were people sitting on the board who were seeking planning permission but they were also the people who were making the decisions on the planning applications  some of those people were also members of the anglo irish bank which was funding the development  we use the phrase something rotten in the state of denmark but there was certainly something very rotten at that time  there are other examples of it  the then minister said that there was a relatively small pool of people from which to select people but what happened was appalling             i wish to emphasise the positive aspects of the docklands as well  the current chairperson of the authority is doing great work  however it was battle after battle for the communities in the docklands areas for their survival  the developers were arriving with brown envelopes and other incentives to get people to move out of communities in which their families had lived for generations  there were many david and goliath battles  the development plans are drawn up and it is a question of economics and drawings on paper with no account taken of the impact and effect on peoples lives or of facilities infrastructure community life and green space  the minister is winding down the ddda but there are still two vacancies on it for community representatives  it is vital that they are appointed and that when the new authority goes to dublin city council community is at the heart of any type of development there             another planning issue about which i feel strongly and i have spoken about it previously is the way in which planning has allowed some of our vital heritage and historical sites to be taken over by developers  the prime example is the moore street area a place associated with one of the most historic moments in our city  it has been given to a developer for a shopping mall  that is just one example  other heritage sites are also at risk from extremely bad planning  so much of this could have been avoided  i gave the example from 2004  in 1974 the kenny report was produced  if that had been implemented much that was wrong with planning in this country might never have occurred             with regard to the motion it is a case of what the previous minister former deputy john gormley did or did not do and what exactly happened  recently i read an article he wrote  in it he spoke about what he had left in the area of planning before this government took over  he says he left an extensive dossier prepared by planning officials following the internal review that he had reports from managers in which each of the local authorities responded to that request from him that there were terms of reference for a panel of planning consultants to carry out an independent review in the six local authorities there was a completed tender process to select the panel and that the letters of appointment issued  all the preparatory work had been done and it was ready to go  i note the minister refers in the amendment to an internal review  i have just returned from my constituency so i did not hear all the minister of states speech and what her plans are  however the central issue is the independent planning regulator and i support the call from an taisce in that regard             i am from a docklands community  my family are from there and i live there  it is awful to see what went wrong  however this is an opportunity for the government and being an optimist i hope that we get it right eventually,876,maureen o'sullivan,Maureen O'Sullivan,Maureen,O'Sullivan,Dublin Central,Independent,2011-03-09,2016-03-09 00:00:00.000000,female,0
